N,K_eff,Min_Rho,Sign_Flips,Oscillation,K_crit,Alpha
4,3.0,-0.8143475040899276,0,1,1.1500000000000001,0.18302818455567965
16,3.0,-0.40717375204496375,2,1,0.6000000000000001,0.19098593171027445
64,3.0,-0.6107606280674456,4,1,0.30000000000000004,0.19098593171027445
256,3.0,-0.7125540660786864,10,1,0.15000000000000002,0.19098593171027445
